CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CustomerStatus,ComplainReceived,WarehouseToHomeRange,TenureRange,CashbackAmountRange
50075,0,11,Mobile Phone,1,35,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,0,18,0,1,7,163,Retained,No,Far distance,1 Year,Moderate Cashback Amount
50076,0,0,Computer,1,6,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Divorced,6,0,19,0,2,0,143,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50077,0,22,Computer,1,24,Debit Card,Male,3,3,Laptop & Accessory,2,Married,2,1,15,0,1,7,168,Retained,Yes,Moderate distance,2 Years,Moderate Cashback Amount
50078,0,7,Computer,1,16,Credit Card,Male,2,3,Mobile Phone,3,Married,2,1,17,2,2,0,138,Retained,Yes,Close distance,1 Year,Moderate Cashback Amount
50079,0,13,Mobile Phone,1,25,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,9,1,15,1,3,7,127,Retained,Yes,Moderate distance,2 Years,Moderate Cashback Amount
50080,1,1,Mobile Phone,1,35,Credit Card,Male,3,3,Laptop & Accessory,5,Divorced,8,1,19,0,1,0,167,Churned,Yes,Far distance,6 Months,Moderate Cashback Amount
50081,1,0,Mobile Phone,3,33,E wallet,Female,2,3,Fashion,2,Divorced,2,0,22,1,1,9,176,Churned,No,Far distance,6 Months,Moderate Cashback Amount
50082,0,0,Mobile Phone,1,16,Debit Card,Male,2,2,Mobile Phone,4,Married,2,1,16,0,2,2,123,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
50083,0,10,Computer,1,24,Credit Card,Female,3,3,Mobile Phone,2,Single,2,0,13,1,1,7,122,Retained,No,Moderate distance,1 Year,Moderate Cashback Amount
50084,0,13,Computer,1,15,Debit Card,Male,3,4,Laptop & Accessory,2,Divorced,10,0,14,1,1,2,149,Retained,No,Close distance,2 Years,Moderate Cashback Amount
50085,0,19,Mobile Phone,1,6,Credit Card,Male,3,3,Fashion,5,Married,8,0,16,0,1,3,194,Retained,No,Very close distance,2 Years,Moderate Cashback Amount
50086,1,0,Mobile Phone,3,10,Credit Card,Male,2,5,Fashion,2,Divorced,2,0,11,7,9,8,204,Churned,No,Very close distance,6 Months,High Cashback Amount
50087,0,3,Computer,1,6,Debit Card,Male,2,4,Fashion,3,Single,2,0,22,2,5,8,185,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50088,0,0,Computer,3,26,Debit Card,Female,2,3,Laptop & Accessory,3,Single,2,0,14,1,1,7,200,Retained,No,Moderate distance,6 Months,Moderate Cashback Amount
50089,0,24,Mobile Phone,1,14,Debit Card,Male,2,4,Fashion,4,Divorced,6,0,16,1,4,5,225,Retained,No,Close distance,2 Years,High Cashback Amount
50090,1,0,Mobile Phone,1,16,Cash on Delivery,Female,2,3,Mobile Phone,5,Single,6,1,11,1,1,4,127,Churned,Yes,Close distance,6 Months,Moderate Cashback Amount
50091,0,14,Mobile Phone,3,12,Debit Card,Female,3,3,Fashion,2,Single,4,1,18,0,3,0,236,Retained,Yes,Close distance,2 Years,High Cashback Amount
50092,1,0,Computer,3,32,E wallet,Female,2,4,Laptop & Accessory,5,Single,6,0,15,0,1,1,167,Churned,No,Far distance,6 Months,Moderate Cashback Amount
50093,1,10,Mobile Phone,1,6,Cash on Delivery,Male,2,3,Mobile Phone,3,Single,1,0,14,0,1,5,121,Churned,No,Very close distance,1 Year,Moderate Cashback Amount
50094,0,18,Computer,3,12,Credit Card,Female,2,4,Fashion,2,Single,7,0,12,12,12,8,189,Retained,No,Close distance,2 Years,Moderate Cashback Amount
50095,0,27,Mobile Phone,3,9,E wallet,Female,2,3,Laptop & Accessory,5,Divorced,3,0,14,1,1,5,159,Retained,No,Very close distance,more than 2 years,Moderate Cashback Amount
50096,0,9,Mobile Phone,1,11,Debit Card,Male,3,3,Laptop & Accessory,4,Single,9,0,16,0,3,7,159,Retained,No,Close distance,1 Year,Moderate Cashback Amount
50097,0,6,Mobile Phone,1,16,Credit Card,Female,2,4,Mobile Phone,4,Divorced,7,0,21,0,1,1,126,Retained,No,Close distance,6 Months,Moderate Cashback Amount
50098,0,10,Computer,1,17,UPI,Male,2,3,Fashion,2,Married,2,1,14,0,1,5,222,Retained,Yes,Close distance,1 Year,High Cashback Amount
50099,0,11,Mobile Phone,3,9,Debit Card,Male,3,3,Fashion,3,Married,1,0,12,1,5,13,206,Retained,No,Very close distance,1 Year,High Cashback Amount
50100,0,4,Computer,1,6,Credit Card,Male,2,5,Laptop & Accessory,3,Divorced,1,0,12,1,1,4,143,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50101,0,10,Mobile Phone,1,9,Debit Card,Male,3,4,Mobile Phone,2,Divorced,4,0,17,0,1,0,122,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
50102,0,10,Computer,3,10,E wallet,Male,2,3,Mobile Phone,2,Married,5,0,17,1,5,8,0,Retained,No,Very close distance,1 Year,Low Cashback Amount
50103,0,2,Computer,3,6,Credit Card,Female,2,3,Fashion,2,Divorced,2,0,14,4,4,1,179,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50104,0,8,Computer,3,6,E wallet,Female,3,3,Fashion,3,Single,2,0,14,1,1,8,188,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
50105,1,0,Mobile Phone,1,16,Credit Card,Male,2,4,Mobile Phone,2,Single,2,1,13,0,1,1,124,Churned,Yes,Close distance,6 Months,Moderate Cashback Amount
50106,0,25,Mobile Phone,1,8,Debit Card,Female,2,4,Mobile Phone,2,Single,8,0,15,0,2,2,132,Retained,No,Very close distance,more than 2 years,Moderate Cashback Amount
50107,0,15,Mobile Phone,1,10,Cash on Delivery,Male,2,3,Others,2,Divorced,2,0,16,0,11,15,292,Retained,No,Very close distance,2 Years,High Cashback Amount
50108,0,10,Mobile Phone,2,12,Credit Card,Male,2,3,Mobile Phone,3,Divorced,9,0,17,2,2,2,123,Retained,No,Close distance,1 Year,Moderate Cashback Amount
50109,0,23,Mobile Phone,3,6,Credit Card,Female,3,3,Others,2,Married,4,0,16,1,1,6,295,Retained,No,Very close distance,2 Years,High Cashback Amount
50110,1,0,Mobile Phone,1,16,Credit Card,Male,2,3,Mobile Phone,2,Divorced,6,1,13,0,1,4,124,Churned,Yes,Close distance,6 Months,Moderate Cashback Amount
50111,0,16,Mobile Phone,3,22,E wallet,Female,3,3,Grocery,2,Divorced,6,1,22,0,3,9,261,Retained,Yes,Moderate distance,2 Years,High Cashback Amount
50112,1,0,Mobile Phone,1,8,Debit Card,Female,3,3,Mobile Phone,5,Divorced,8,0,20,1,1,7,127,Churned,No,Very close distance,6 Months,Moderate Cashback Amount
50113,0,25,Computer,3,8,Debit Card,Male,3,4,Others,3,Single,2,1,18,2,15,12,291,Retained,Yes,Very close distance,more than 2 years,High Cashback Amount
50114,0,5,Mobile Phone,3,10,Debit Card,Female,2,3,Mobile Phone,4,Divorced,3,0,11,1,1,2,139,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50115,1,0,Mobile Phone,1,6,Debit Card,Male,3,4,Mobile Phone,3,Single,1,1,14,1,1,2,137,Churned,Yes,Very close distance,6 Months,Moderate Cashback Amount
50116,0,10,Mobile Phone,1,6,Credit Card,Female,3,3,Mobile Phone,3,Married,8,0,14,0,1,2,122,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
50117,0,5,Computer,3,32,E wallet,Male,3,3,Laptop & Accessory,2,Divorced,1,0,18,1,2,2,145,Retained,No,Far distance,6 Months,Moderate Cashback Amount
50118,0,14,Mobile Phone,1,25,Debit Card,Male,3,3,Laptop & Accessory,5,Married,3,0,16,1,1,0,131,Retained,No,Moderate distance,2 Years,Moderate Cashback Amount
50119,0,13,Mobile Phone,1,30,Cash on Delivery,Male,3,3,Laptop & Accessory,2,Married,2,0,17,2,4,7,133,Retained,No,Moderate distance,2 Years,Moderate Cashback Amount
50120,0,18,Mobile Phone,1,6,UPI,Male,3,2,Others,2,Divorced,1,0,16,1,1,7,292,Retained,No,Very close distance,2 Years,High Cashback Amount
50121,0,4,Computer,1,9,Credit Card,Male,3,3,Fashion,3,Married,10,0,12,1,3,2,237,Retained,No,Very close distance,6 Months,High Cashback Amount
50122,0,6,Mobile Phone,1,11,Debit Card,Female,3,4,Mobile Phone,2,Divorced,2,0,13,0,1,2,129,Retained,No,Close distance,6 Months,Moderate Cashback Amount
50123,0,7,Mobile Phone,1,8,Debit Card,Male,2,4,Laptop & Accessory,5,Divorced,7,0,13,0,5,9,160,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
50124,0,10,Mobile Phone,1,6,Credit Card,Female,2,4,Mobile Phone,5,Divorced,3,0,14,1,1,2,139,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
50125,0,18,Computer,1,13,Debit Card,Male,3,2,Laptop & Accessory,3,Divorced,5,0,17,0,1,2,164,Retained,No,Close distance,2 Years,Moderate Cashback Amount
50126,1,0,Computer,1,16,Credit Card,Male,3,3,Fashion,3,Married,7,0,11,1,1,0,200,Churned,No,Close distance,6 Months,Moderate Cashback Amount
50127,0,12,Computer,1,8,Cash on Delivery,Female,3,3,Fashion,3,Single,1,0,25,10,11,5,209,Retained,No,Very close distance,1 Year,High Cashback Amount
50128,0,2,Mobile Phone,1,16,Debit Card,Male,2,3,Mobile Phone,2,Single,2,0,19,0,1,5,123,Retained,No,Close distance,6 Months,Moderate Cashback Amount
50129,0,15,Mobile Phone,1,23,Debit Card,Female,2,2,Laptop & Accessory,5,Single,4,1,13,0,1,2,165,Retained,Yes,Moderate distance,2 Years,Moderate Cashback Amount
50130,0,2,Mobile Phone,3,26,E wallet,Male,2,3,Laptop & Accessory,2,Married,3,0,14,1,1,2,169,Retained,No,Moderate distance,6 Months,Moderate Cashback Amount
50131,0,0,Mobile Phone,1,6,Debit Card,Female,3,3,Laptop & Accessory,3,Divorced,1,0,12,1,1,2,149,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50132,0,15,Mobile Phone,1,16,Credit Card,Female,2,4,Mobile Phone,5,Married,1,1,11,4,7,8,126,Retained,Yes,Close distance,2 Years,Moderate Cashback Amount
50133,0,13,Mobile Phone,1,8,Credit Card,Male,2,3,Others,3,Married,1,0,16,0,3,9,294,Retained,No,Very close distance,2 Years,High Cashback Amount
50134,0,24,Mobile Phone,1,6,Debit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,11,1,1,0,127,Retained,No,Very close distance,2 Years,Moderate Cashback Amount
50135,1,0,Computer,1,35,Credit Card,Male,3,4,Mobile Phone,4,Single,1,0,11,1,1,4,135,Churned,No,Far distance,6 Months,Moderate Cashback Amount
50136,0,5,Computer,1,13,Debit Card,Male,3,2,Mobile Phone,4,Divorced,2,0,20,0,1,3,128,Retained,No,Close distance,6 Months,Moderate Cashback Amount
50137,0,11,Computer,3,8,Debit Card,Male,2,4,Laptop & Accessory,2,Divorced,4,0,18,6,7,5,152,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
50138,0,10,Mobile Phone,1,8,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Single,5,0,13,0,1,4,122,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
50139,0,19,Mobile Phone,3,8,Cash on Delivery,Female,3,5,Grocery,4,Divorced,4,1,12,2,7,7,269,Retained,Yes,Very close distance,2 Years,High Cashback Amount
50140,1,0,Mobile Phone,1,8,Debit Card,Male,3,3,Mobile Phone,3,Single,3,0,11,1,1,0,135,Churned,No,Very close distance,6 Months,Moderate Cashback Amount
50141,0,2,Mobile Phone,3,8,Credit Card,Male,3,4,Laptop & Accessory,4,Divorced,3,0,19,0,1,0,166,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50142,0,4,Mobile Phone,1,29,Credit Card,Male,3,4,Laptop & Accessory,2,Divorced,1,0,21,1,7,8,156,Retained,No,Moderate distance,6 Months,Moderate Cashback Amount
50143,0,0,Computer,1,11,Debit Card,Male,2,2,Laptop & Accessory,5,Married,2,0,12,1,1,5,140,Retained,No,Close distance,6 Months,Moderate Cashback Amount
50144,0,18,Mobile Phone,1,26,Credit Card,Male,3,3,Grocery,2,Divorced,1,1,14,0,3,10,235,Retained,Yes,Moderate distance,2 Years,High Cashback Amount
50145,0,9,Mobile Phone,1,12,Debit Card,Male,2,3,Mobile Phone,2,Divorced,1,0,11,4,10,11,132,Retained,No,Close distance,1 Year,Moderate Cashback Amount
50146,0,28,Mobile Phone,1,6,Credit Card,Male,2,3,Others,5,Single,1,1,14,2,4,13,290,Retained,Yes,Very close distance,more than 2 years,High Cashback Amount
50147,1,10,Computer,1,35,Debit Card,Male,2,3,Fashion,4,Divorced,2,1,12,5,9,5,218,Churned,Yes,Far distance,1 Year,High Cashback Amount
50148,0,10,Mobile Phone,1,15,Credit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,23,1,1,4,121,Retained,No,Close distance,1 Year,Moderate Cashback Amount
50149,0,10,Mobile Phone,3,12,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,5,0,14,0,1,1,165,Retained,No,Close distance,1 Year,Moderate Cashback Amount
50150,0,0,Mobile Phone,1,9,Credit Card,Male,3,4,Mobile Phone,3,Single,2,0,17,1,1,0,132,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50151,0,10,Computer,1,6,Credit Card,Female,0,3,Fashion,2,Married,3,1,18,0,3,2,236,Retained,Yes,Very close distance,1 Year,High Cashback Amount
50152,0,2,Mobile Phone,1,28,Debit Card,Female,3,2,Fashion,4,Married,8,0,18,5,6,5,220,Retained,No,Moderate distance,6 Months,High Cashback Amount
50153,0,11,Mobile Phone,3,13,Credit Card,Female,2,2,Laptop & Accessory,5,Married,2,1,24,0,7,7,156,Retained,Yes,Close distance,1 Year,Moderate Cashback Amount
50154,0,0,Computer,1,6,Debit Card,Female,2,3,Laptop & Accessory,4,Married,2,0,20,0,1,4,164,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
50155,0,23,Mobile Phone,1,10,Debit Card,Male,3,3,Others,4,Married,4,0,14,2,1,6,291,Retained,No,Very close distance,2 Years,High Cashback Amount
